Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic148845,2544.0,2544,2544.0,0.0,0.49,0.24,0.47,10182294,10182294.0,0.25,0.11,0.0,1
Topic148846,612.0,612,612.0,0.0,0.11,0.06,0.11,3089106,3089106.0,0.06,0.1,0.0,1
Topic148893,1696.96,2544,1696.96,1138.0,0.49,0.24,0.47,10182294,4294949.87,0.48,0.12,7.59,1
Topic149535,1255.97,1495,1255.97,13706.0,0.28,0.14,0.05,1456556,1193871.67,0.15,0.1,91.37,1
Topic319107,1228.51,1509,1228.51,15403.0,0.24,0.14,0.0,166571,142457.94,0.43,0.12,102.69,1
Topic319407,977.36,1047,977.36,41301.0,0.15,0.1,0.0,117835,85944.59,0.4,0.12,275.34,1
Topic320587,1659.22,3040,1659.22,9234.0,0.58,0.29,0.02,719935,285845.48,0.44,0.12,61.56,1
Topic320708,1800.87,3040,1800.87,12348.0,0.58,0.29,0.02,719935,335601.75,0.45,0.12,82.32,1
Topic322305,1581.74,3040,1581.74,73601.0,0.58,0.29,0.02,719935,346293.93,0.49,0.12,490.67,1
Topic319685,933.76,220,933.76,3311.0,0.04,0.02,0.0,4410,57832.43,0.41,0.12,47.3,0
Topic318442,928.77,2528,928.77,1583462.0,0.42,0.24,0.0,127833,77121.52,0.4,0.12,23991.85,0
Topic318348,1136.12,30,1136.12,9802.0,0.0,0.0,0.0,526,699068.11,0.44,0.12,121.01,0
Topic319090,1144.13,35,1144.13,312389.0,0.0,0.0,0.0,357,633133.45,0.48,0.12,4165.19,0
Topic319669,1085.64,1257,1085.64,10287.0,0.22,0.12,0.0,135371,94054.17,0.39,0.12,94.38,0
Topic21011,544.4,690,544.4,147593.37,0.13,0.07,0.0,39591,550445.27,0.44,0.12,4919.78,0
Topic33853,544.4,690,544.4,147593.37,0.13,0.07,0.0,39591,550445.27,0.44,0.12,4919.78,0
Topic61689,544.4,690,544.4,147593.37,0.13,0.07,0.0,39591,550445.27,0.44,0.12,4919.78,0
Topic93451,544.4,690,544.4,147593.37,0.13,0.07,0.0,39591,550445.27,0.44,0.12,4919.78,0
