Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic147100,1449.0,1449,1449.0,0.0,0.28,0.14,0.52,6624316,6624316.0,0.14,0.1,0.0,1
Topic148845,2544.0,2544,2544.0,0.0,0.49,0.24,0.47,10182294,10182294.0,0.25,0.11,0.0,1
Topic148846,612.0,612,612.0,0.0,0.11,0.06,0.11,3089106,3089106.0,0.06,0.1,0.0,1
Topic148893,1716.58,2544,1716.58,1074.0,0.49,0.24,0.47,10182294,5070746.54,0.39,0.12,8.95,1
Topic149535,1495.0,1495,1495.0,0.0,0.28,0.14,0.05,1456556,1456556.0,0.14,0.1,0.0,1
Topic149626,321.18,266,321.18,363.0,0.05,0.03,0.02,1337888,1240141.92,0.15,0.11,3.02,1
Topic149704,892.43,2544,892.43,208703.0,0.49,0.24,0.47,10182294,2036544.11,0.43,0.12,1739.19,1
Topic319107,1241.68,1509,1241.68,8115.0,0.24,0.14,0.0,166571,110772.81,0.4,0.12,67.62,1
Topic319186,1117.84,1257,1117.84,10741.0,0.22,0.12,0.0,135371,103165.13,0.41,0.12,89.51,1
Topic319407,975.6,1047,975.6,32420.0,0.15,0.1,0.0,117835,97855.55,0.39,0.12,270.17,1
Topic320587,1855.8,3040,1855.8,5173.0,0.58,0.29,0.02,719935,340167.8,0.41,0.12,43.11,1
Topic320708,1966.48,3040,1966.48,5341.0,0.58,0.29,0.02,719935,385292.27,0.42,0.12,44.51,1
Topic320827,1286.15,1634,1286.15,169822.0,0.28,0.16,0.02,432019,230346.82,0.44,0.12,1415.18,1
Topic322305,1658.44,3040,1658.44,4683.0,0.58,0.29,0.02,719935,314058.01,0.46,0.12,39.02,1
Topic22231,745.77,948,745.77,265.28,0.16,0.09,0.1,1446340,377671.3,0.45,0.12,8.84,0
Topic22292,666.4,607,666.4,396.72,0.11,0.06,0.01,322935,455302.8,0.42,0.12,13.22,0
Topic22664,588.77,690,588.77,1335.5,0.13,0.07,0.0,39591,236686.47,0.45,0.12,44.52,0
Topic22762,532.07,661,532.07,838.93,0.11,0.06,0.0,59130,67607.47,0.45,0.12,27.96,0
Topic23848,652.67,1724,652.67,7262.97,0.35,0.17,0.0,206796,159604.97,0.44,0.12,242.1,0
Topic34769,745.77,948,745.77,265.28,0.16,0.09,0.1,1446340,377671.3,0.45,0.12,8.84,0
Topic34928,666.4,607,666.4,396.72,0.11,0.06,0.01,322935,455302.8,0.42,0.12,13.22,0
Topic35301,588.77,690,588.77,1335.5,0.13,0.07,0.0,39591,236686.47,0.45,0.12,44.52,0
Topic35436,532.07,661,532.07,838.93,0.11,0.06,0.0,59130,67607.47,0.45,0.12,27.96,0
Topic36479,652.67,1724,652.67,7262.97,0.35,0.17,0.0,206796,159604.97,0.44,0.12,242.1,0
Topic62863,745.77,948,745.77,265.28,0.16,0.09,0.1,1446340,377671.3,0.45,0.12,8.84,0
Topic63022,666.4,607,666.4,396.72,0.11,0.06,0.01,322935,455302.8,0.42,0.12,13.22,0
Topic63395,588.77,690,588.77,1335.5,0.13,0.07,0.0,39591,236686.47,0.45,0.12,44.52,0
Topic63530,532.07,661,532.07,838.93,0.11,0.06,0.0,59130,67607.47,0.45,0.12,27.96,0
Topic94586,745.77,948,745.77,265.28,0.16,0.09,0.1,1446340,377671.3,0.45,0.12,8.84,0
Topic94745,666.4,607,666.4,396.72,0.11,0.06,0.01,322935,455302.8,0.42,0.12,13.22,0
Topic95118,588.77,690,588.77,1335.5,0.13,0.07,0.0,39591,236686.47,0.45,0.12,44.52,0
Topic95254,532.07,661,532.07,838.93,0.11,0.06,0.0,59130,67607.47,0.45,0.12,27.96,0
Topic96259,652.67,1724,652.67,7262.97,0.35,0.17,0.0,206796,159604.97,0.44,0.12,242.1,0
Topic133695,745.77,948,745.77,265.28,0.16,0.09,0.1,1446340,377671.3,0.45,0.12,8.84,0
Topic133756,666.4,607,666.4,396.72,0.11,0.06,0.01,322935,455302.8,0.42,0.12,13.22,0
Topic134128,588.77,690,588.77,1335.5,0.13,0.07,0.0,39591,236686.47,0.45,0.12,44.52,0
Topic134363,532.07,661,532.07,838.93,0.11,0.06,0.0,59130,67607.47,0.45,0.12,27.96,0
Topic135362,652.67,1724,652.67,7262.97,0.35,0.17,0.0,206796,159604.97,0.44,0.12,242.1,0
Topic147061,626.87,430,626.87,4120.0,0.11,0.04,0.0,236260,333374.8,0.58,0.12,10.1,0
Topic147091,502.11,237,502.11,1996345.0,0.06,0.02,0.01,581140,523024.22,0.75,0.13,892.42,0
Topic147092,1100.97,1906,1100.97,3722511.0,0.34,0.18,0.01,956336,646640.83,0.86,0.13,1305.69,0
Topic147097,505.57,363,505.57,811798.0,0.07,0.03,0.02,422873,735407.94,0.55,0.12,484.08,0
Topic147102,800.46,746,800.46,3852662.0,0.14,0.07,0.14,1984474,1137479.81,0.65,0.13,3911.33,0
Topic148804,673.76,304,673.76,1825790.0,0.05,0.03,0.0,89869,359169.69,0.54,0.12,4003.93,0
Topic148844,589.79,288,589.79,2961172.0,0.06,0.03,0.0,45988,413440.63,0.6,0.12,3655.77,0
Topic148872,497.93,746,497.93,794390.0,0.14,0.07,0.14,1984474,441059.63,0.45,0.12,1976.09,0
Topic148880,980.82,1449,980.82,4601411.0,0.28,0.14,0.52,6624316,2159867.87,0.57,0.12,13146.89,0
Topic148907,368.23,396,368.23,3531191.0,0.07,0.04,0.0,48593,399357.88,0.39,0.12,10325.12,0
Topic148927,835.03,784,835.03,3895304.0,0.13,0.08,0.0,188759,312277.03,0.63,0.12,3860.56,0
Topic148965,809.32,679,809.32,1577959.0,0.16,0.07,0.0,151515,621757.69,0.52,0.12,2435.12,0
Topic148982,825.63,2111,825.63,2104985.0,0.42,0.2,0.01,403980,448389.02,0.68,0.13,2357.21,0
Topic149018,568.89,675,568.89,3338368.0,0.11,0.06,0.02,263927,160853.53,0.5,0.12,4451.16,0
Topic149634,529.02,759,529.02,2388219.0,0.15,0.07,0.01,492970,341661.81,0.68,0.13,1809.26,0
Topic149635,693.16,542,693.16,4698467.0,0.08,0.05,0.01,226750,822864.02,0.68,0.12,3132.31,0
Topic149641,703.22,221,703.22,4442493.0,0.03,0.02,0.0,37952,1217601.72,0.68,0.13,4849.88,0
Topic149642,626.18,593,626.18,3230819.0,0.13,0.06,0.0,97824,286889.66,0.56,0.12,5609.06,0
Topic149645,715.98,120,715.98,3193113.0,0.01,0.01,0.0,10167,670322.71,0.67,0.13,10300.36,0
Topic149662,675.44,294,675.44,1318412.0,0.06,0.03,0.0,22834,755139.38,0.5,0.12,4454.09,0
Topic149671,689.36,213,689.36,2024085.0,0.04,0.02,0.0,14825,503441.66,0.44,0.12,10326.96,0
Topic149677,692.09,759,692.09,2995936.0,0.15,0.07,0.01,492970,484456.13,0.75,0.13,4801.18,0
Topic149702,671.48,2009,671.48,3309490.0,0.39,0.19,0.0,203120,720355.78,0.49,0.12,14515.31,0
Topic149753,792.21,679,792.21,1054425.0,0.16,0.07,0.0,151515,554082.71,0.56,0.12,5857.92,0
Topic152339,355.48,36,355.48,4516802.0,0.01,0.0,0.0,1842,19459.65,0.4,0.12,28953.86,0
Topic152391,749.57,631,749.57,3836993.0,0.1,0.06,0.02,230925,439163.52,0.69,0.13,8251.6,0
Topic152425,879.38,35,879.38,5213594.0,0.0,0.0,0.0,762,777146.65,0.48,0.12,39199.95,0
Topic152464,1211.26,806,1211.26,3245079.0,0.18,0.08,0.03,203710,1107937.13,0.68,0.13,12018.81,0
Topic152468,265.9,31,265.9,2142738.0,0.0,0.0,0.0,790,129077.01,0.39,0.12,15990.58,0
Topic152483,847.7,591,847.7,1580245.0,0.13,0.06,0.0,68402,306541.45,0.56,0.12,20522.66,0
Topic158377,536.8,57,536.8,652790.0,0.01,0.01,0.0,3584,184953.0,0.58,0.13,2888.45,0
Topic158390,490.46,50,490.46,2425522.0,0.01,0.0,0.0,3365,442686.44,0.55,0.12,16500.15,0
Topic158424,895.91,2544,895.91,2767979.0,0.49,0.24,0.47,10182294,1837247.27,0.57,0.12,20969.54,0
Topic158434,967.82,2544,967.82,2814758.0,0.49,0.24,0.47,10182294,1888932.9,0.59,0.12,12185.1,0
Topic318085,804.08,795,804.08,2724292.0,0.18,0.08,0.0,54349,153241.4,0.49,0.12,10398.06,0
Topic318170,1409.21,309,1409.21,2426415.0,0.05,0.03,0.0,6876,2516654.24,0.53,0.12,10642.17,0
Topic318171,959.37,2544,959.37,768598.0,0.49,0.24,0.47,10182294,1047301.96,0.44,0.12,9729.09,0
Topic318218,1109.99,2544,1109.99,1089933.0,0.49,0.24,0.47,10182294,1230251.41,0.49,0.13,4359.73,0
Topic318234,628.35,158,628.35,1051541.0,0.02,0.02,0.0,5436,207609.15,0.55,0.13,2842.0,0
Topic318244,1288.37,1744,1288.37,1410100.0,0.31,0.17,0.04,714170,440256.47,0.49,0.12,12703.6,0
