Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic147092,791.0,1906,791.0,445470.0,0.34,0.18,0.01,956336,513069.77,0.51,0.12,14849.0,1
Topic147100,851.1,1449,851.1,112607.0,0.28,0.14,0.52,6624316,1230080.7,0.51,0.12,3753.57,1
Topic147102,839.43,746,839.43,632787.0,0.14,0.07,0.14,1984474,765611.33,0.5,0.12,21092.9,1
Topic148845,1291.33,2544,1291.33,3950.0,0.49,0.24,0.47,10182294,1371985.37,0.61,0.12,131.67,1
Topic148846,938.87,612,938.87,8310.0,0.11,0.06,0.11,3089106,1124957.43,0.5,0.12,277.0,1
Topic148893,1132.3,2544,1132.3,17824.0,0.49,0.24,0.47,10182294,1121335.0,0.56,0.12,594.13,1
Topic149535,343.53,1495,343.53,107058.0,0.28,0.14,0.05,1456556,158591.93,0.26,0.12,3568.6,1
Topic149626,785.93,266,785.93,143918.0,0.05,0.03,0.02,1337888,605241.97,0.46,0.12,4797.27,1
Topic149634,589.37,759,589.37,320267.0,0.15,0.07,0.01,492970,213784.27,0.42,0.12,10675.57,1
Topic149635,733.17,542,733.17,424363.0,0.08,0.05,0.01,226750,1037614.67,0.45,0.12,14145.43,1
Topic149641,768.8,221,768.8,577324.0,0.03,0.02,0.0,37952,1082292.0,0.5,0.12,19244.13,1
Topic149645,839.6,120,839.6,266044.0,0.01,0.01,0.0,10167,858147.73,0.52,0.12,8868.13,1
Topic149677,1039.07,759,1039.07,10378.0,0.15,0.07,0.01,492970,494836.47,0.59,0.12,345.93,1
Topic149704,653.4,2544,653.4,194708.0,0.49,0.24,0.47,10182294,846191.4,0.42,0.12,6490.27,1
Topic152391,640.47,631,640.47,228343.0,0.1,0.06,0.02,230925,149883.37,0.46,0.12,7611.43,1
Topic318218,830.17,2544,830.17,103319.0,0.49,0.24,0.47,10182294,563233.93,0.41,0.12,3443.97,1
Topic318234,696.4,158,696.4,37540.0,0.02,0.02,0.0,5436,143157.07,0.44,0.12,1251.33,1
Topic318262,1041.9,309,1041.9,12857.0,0.06,0.03,0.0,24034,549597.93,0.44,0.12,428.57,1
Topic318295,1139.1,831,1139.1,13183.0,0.13,0.08,0.0,61093,573179.63,0.47,0.12,439.43,1
Topic318604,961.17,492,961.17,8741.0,0.09,0.05,0.0,10975,478435.23,0.47,0.12,291.37,1
Topic318824,384.57,381,384.57,207204.0,0.08,0.04,0.0,17068,43853.0,0.32,0.12,6906.8,1
Topic318927,944.3,1631,944.3,528.0,0.22,0.16,0.0,132268,234752.77,0.45,0.12,17.6,1
Topic319107,1039.23,1509,1039.23,10289.0,0.24,0.14,0.0,166571,137734.83,0.41,0.12,342.97,1
