Topic,KV,KF,KFn,GKV,GKF,GKFn,OKV_KF,OKV_KFn,OKF_KFn,elapsed,Class
Topic164222,4,1,4,0.31,0.0,0.33,1,4,1,966.65,1
Topic164495,3,1,3,0.69,,0.65,1,3,1,1040.36,1
Topic164509,5,4,4,0.48,0.57,0.38,4,4,3,963.04,1
Topic164520,2,1,2,0.6,,0.56,1,2,1,332.64,1
Topic164597,3,1,3,0.35,0.0,0.34,1,3,1,25471.28,1
Topic164599,2,1,2,0.05,0.0,0.05,1,2,1,2267.7,1
Topic164601,3,1,3,0.3,0.0,0.32,1,3,1,731.7,1
Topic164604,4,2,4,0.68,0.67,0.67,2,4,2,1153.76,1
Topic164611,1,1,1,,,,1,1,1,456.81,1
Topic164612,2,1,2,0.9,,0.88,1,2,1,136.02,1
Topic164620,3,1,3,0.33,0.0,0.35,1,3,1,702.3,1
Topic164622,2,2,1,0.9,0.75,,2,1,1,239.94,1
Topic164625,2,1,2,0.9,,0.88,1,2,1,411.39,1
Topic164744,3,2,2,0.25,0.33,0.19,2,2,1,4033.45,1
Topic164746,3,1,3,0.52,,0.41,1,3,1,3598.36,1
Topic164748,3,3,1,0.34,0.36,0.0,3,1,1,122.21,1
Topic164827,2,1,2,0.8,,0.71,1,2,1,987.79,1
Topic164828,2,1,2,0.07,0.0,0.08,1,2,1,1467.11,1
Topic164830,3,3,3,0.51,0.54,0.46,3,3,3,613.15,1
Topic164832,2,1,2,0.2,,0.11,1,2,1,925.99,1
Topic164835,2,2,2,0.2,0.5,0.12,2,2,2,219.99,1
Topic164837,2,1,2,0.3,,0.22,1,2,1,2230.86,1
Topic164843,5,2,5,0.28,0.03,0.32,2,5,2,1002.02,1
Topic164844,2,1,2,0.4,,0.33,1,2,1,5923.92,1
Topic165204,2,1,2,0.9,,0.89,1,2,1,101.21,1
Topic166114,3,1,3,0.28,0.0,0.34,1,3,1,307.91,1
Topic163788,5,4,4,0.49,0.5,0.42,4,4,3,60.34,0
Topic163959,4,1,3,0.47,,0.41,1,3,0,11769.72,0
Topic163991,2,1,2,0.9,,0.88,1,2,1,3479.7,0
Topic163994,3,1,3,0.85,,0.81,1,3,1,2540.83,0
Topic163998,1,1,1,,,,1,1,1,7382.94,0
Topic164001,5,2,4,0.42,0.23,0.34,2,4,1,2696.56,0
Topic164003,2,1,2,0.9,,0.89,1,2,1,7009.44,0
Topic164004,3,1,3,0.7,,0.57,1,3,1,8147.2,0
Topic164008,1,1,1,,,,1,1,1,1003.7,0
Topic164010,4,2,4,0.7,0.75,0.64,2,4,2,4923.45,0
Topic164015,3,1,3,0.52,,0.47,1,3,1,16618.75,0
Topic164018,2,1,2,0.3,,0.12,1,2,1,7747.84,0
Topic164024,3,3,3,0.63,0.56,0.7,3,3,3,1523.25,0
Topic164030,2,1,2,0.9,,0.88,1,2,1,4998.29,0
Topic164035,2,2,1,0.9,0.75,,2,1,1,1864.64,0
Topic164138,3,1,3,0.48,0.0,0.54,1,3,1,7700.91,0
Topic164146,4,1,4,0.46,,0.33,1,4,1,1495.91,0
Topic164190,4,1,4,0.39,0.0,0.39,1,4,1,7892.5,0
Topic164199,5,1,5,0.73,,0.66,1,5,1,4531.26,0
Topic164200,3,1,3,0.57,,0.46,1,3,1,13209.52,0
Topic164203,1,1,1,,,,1,1,1,8.44,0
Topic164204,2,2,1,0.9,0.86,,2,1,1,663.75,0
Topic164205,3,1,3,0.82,,0.78,1,3,1,189.54,0
Topic164206,4,1,4,0.28,0.0,0.29,1,4,1,4701.53,0
Topic164208,3,1,3,0.54,,0.43,1,3,1,67871.85,0
Topic164213,3,1,3,0.09,0.0,0.11,1,3,1,4025.09,0
