Topic,F1,F2,F3,F4,Class
Topic164206,1,4,0.14,13569.79,1
Topic164215,3,3,0.78,777.51,1
Topic164217,2,2,0.8,407.59,1
Topic164222,3,4,0.3,1796.96,1
Topic164225,2,4,0.21,5388.34,1
Topic164421,2,2,0.92,114.93,1
Topic164494,1,5,0.44,1606.92,1
Topic164495,3,4,0.37,1150.06,1
Topic164509,5,6,0.47,785.58,1
Topic164520,2,4,0.59,1548.95,1
Topic164536,1,4,0.29,2835.24,1
Topic164597,1,5,0.31,11704.25,1
Topic164598,4,5,0.35,8158.01,1
Topic164599,1,3,0.19,5365.07,1
Topic164601,3,5,0.3,1942.02,1
Topic164602,3,4,0.29,16170.1,1
Topic164604,4,4,0.71,1520.03,1
Topic164606,3,5,0.4,4333.52,1
Topic164611,1,2,0.88,472.4,1
Topic164612,2,4,0.91,773.03,1
Topic164613,5,6,0.62,4316.78,1
Topic164614,1,3,0.94,2222.62,1
Topic164615,2,3,0.2,7271.51,1
Topic164617,4,6,0.55,3510.28,1
Topic164618,2,4,0.48,8323.45,1
Topic164619,1,2,0.96,1829.75,1
Topic164620,3,6,0.34,1802.62,1
Topic164622,2,4,0.9,153.5,1
Topic164624,2,5,0.17,12898.33,1
Topic164625,1,3,0.95,1022.03,1
Topic164628,3,4,0.52,2330.91,1
Topic164635,2,5,0.31,3315.97,1
Topic164736,3,5,0.52,2831.98,1
Topic164737,3,6,0.37,1943.87,1
Topic164741,1,5,0.11,11603.82,1
Topic164744,2,3,0.06,2465.06,1
Topic164746,1,4,0.28,4945.7,1
Topic164748,3,5,0.32,289.33,1
Topic164827,2,4,0.72,1786.5,1
Topic164828,1,2,0.27,1257.43,1
Topic164830,2,3,0.21,1758.22,1
Topic164831,3,3,0.13,12626.38,1
Topic164832,2,3,0.27,955.25,1
Topic164835,2,3,0.26,285.52,1
Topic164837,2,4,0.46,1761.67,1
Topic164838,3,5,0.33,11017.89,1
Topic164839,3,4,0.18,2561.7,1
Topic164843,4,4,0.56,1298.71,1
Topic164844,3,4,0.47,4648.77,1
Topic164851,5,7,0.54,4306.98,1
Topic164853,4,6,0.35,15319.11,1
Topic164854,5,7,0.65,8433.32,1
Topic165196,4,5,0.44,2960.7,1
Topic165204,1,3,0.94,455.58,1
Topic165208,1,1,,287.37,1
Topic165513,3,3,0.25,4099.64,1
Topic165530,2,6,0.48,8663.46,1
Topic164024,3,4,0.36,2827.84,0
Topic164146,3,6,0.56,6038.47,0
Topic164204,1,2,0.96,1615.09,0
Topic164213,1,5,0.18,32491.53,0
Topic164214,2,6,0.38,6502.08,0
Topic164219,3,5,0.24,13403.21,0
Topic164220,2,2,0.92,1072.0,0
Topic164221,2,5,0.2,7681.68,0
Topic164223,2,6,0.44,15959.87,0
Topic164224,1,3,0.18,21746.4,0
Topic164226,3,4,0.33,47972.45,0
Topic164350,2,3,0.87,1661.16,0
Topic164351,1,3,0.94,3055.3,0
Topic164448,2,7,0.65,26203.5,0
Topic164491,3,5,0.53,30049.46,0
Topic164493,4,6,0.4,5093.64,0
Topic164497,4,6,0.58,67689.88,0
Topic164500,3,5,0.52,13787.97,0
Topic164501,4,6,0.49,47769.05,0
Topic164502,4,7,0.58,7121.43,0
Topic164505,2,6,0.46,42487.83,0
Topic164506,6,7,0.65,15872.17,0
Topic164507,2,4,0.71,1900.4,0
Topic164508,3,5,0.49,5387.19,0
Topic164511,2,6,0.71,8880.74,0
Topic164512,4,6,0.54,34994.93,0
Topic164513,2,6,0.52,43997.24,0
Topic164526,3,5,0.35,17850.08,0
Topic164527,2,5,0.5,13730.25,0
Topic164529,4,4,0.52,12536.68,0
Topic164533,4,4,0.56,12672.25,0
Topic164537,2,5,0.42,9717.31,0
Topic164545,1,4,0.38,10025.05,0
Topic164555,2,7,0.69,19201.3,0
Topic164600,2,5,0.18,69824.22,0
Topic164607,3,7,0.31,22125.08,0
Topic164608,2,5,0.25,10860.11,0
Topic164610,4,4,0.6,10073.65,0
Topic164621,2,4,0.2,32471.16,0
Topic164623,1,2,0.96,99.17,0
Topic164626,1,3,0.19,57695.02,0
Topic164630,3,7,0.61,40982.28,0
Topic164640,3,6,0.52,18660.26,0
Topic164645,2,6,0.47,4055.68,0
Topic164646,2,5,0.31,2488.85,0
Topic164650,4,5,0.55,751.48,0
Topic164655,5,6,0.56,2272.33,0
Topic164735,2,5,0.51,6215.43,0
Topic164739,1,3,0.05,7193.21,0
Topic164740,3,4,0.51,38367.97,0
Topic164743,2,3,0.25,63018.7,0
Topic164749,1,4,0.43,60009.95,0
Topic164752,3,6,0.36,45360.61,0
Topic164754,2,4,0.22,5749.56,0
Topic164756,4,5,0.54,29710.27,0
Topic164757,5,6,0.33,9199.5,0
Topic164758,1,6,0.42,12890.35,0
