Topic,KV,KF,KFn,GKV,GKF,GKFn,OKV_KF,OKV_KFn,OKF_KFn,elapsed,Class
Topic164222,4,1,4,0.33,0.0,0.34,1,4,1,1796.96,1
Topic164495,3,1,3,0.67,0.0,0.69,1,3,1,1150.06,1
Topic164509,5,4,4,0.66,0.57,0.53,4,4,3,785.58,1
Topic164520,4,1,4,0.42,0.0,0.43,1,4,1,1548.95,1
Topic164597,4,1,4,0.29,0.0,0.2,1,4,1,11704.25,1
Topic164599,3,1,3,0.13,0.0,0.14,1,3,1,5365.07,1
Topic164601,5,1,5,0.18,0.0,0.18,1,5,1,1942.02,1
Topic164604,4,2,4,0.37,0.05,0.41,2,4,2,1520.03,1
Topic164611,2,1,2,0.07,0.0,0.08,1,2,1,472.4,1
Topic164612,3,1,3,0.11,0.0,0.12,1,3,1,773.03,1
Topic164620,5,1,5,0.34,0.0,0.36,1,5,1,1802.62,1
Topic164622,3,2,3,0.09,0.23,0.07,2,3,2,153.5,1
Topic164625,3,1,3,0.03,0.0,0.03,1,3,1,1022.03,1
Topic164744,2,2,1,0.59,0.62,0.0,2,1,1,2465.06,1
Topic164746,3,1,3,0.73,0.0,0.71,1,3,1,4945.7,1
Topic164748,4,3,3,0.72,0.69,0.71,3,3,2,289.33,1
Topic164827,4,1,4,0.33,0.0,0.37,1,4,1,1786.5,1
Topic164828,2,1,2,0.06,0.0,0.06,1,2,1,1257.43,1
Topic164830,3,3,3,0.58,0.68,0.5,3,3,3,1758.22,1
Topic164832,3,1,3,0.58,0.0,0.59,1,3,1,955.25,1
Topic164835,3,2,3,0.59,0.43,0.58,2,3,2,285.52,1
Topic164837,4,1,4,0.53,0.0,0.55,1,4,1,1761.67,1
Topic164843,5,2,5,0.47,0.33,0.47,2,5,2,1298.71,1
Topic164844,3,1,3,0.54,0.0,0.55,1,3,1,4648.77,1
Topic165204,3,1,3,0.05,0.0,0.05,1,3,1,455.58,1
Topic166114,4,2,4,0.5,0.48,0.51,2,4,2,1709.18,1
Topic164024,3,3,3,0.65,0.55,0.67,3,3,3,2827.84,0
Topic164146,5,1,5,0.65,0.0,0.69,1,5,1,6038.47,0
Topic164204,2,2,1,0.04,0.13,0.0,2,1,1,1615.09,0
Topic164206,4,1,4,0.15,0.0,0.16,1,4,1,13569.79,0
Topic164213,5,1,5,0.11,0.0,0.12,1,5,1,32491.53,0
Topic164214,5,3,4,0.36,0.6,0.32,3,4,2,6502.08,0
Topic164215,3,1,3,0.08,0.0,0.08,1,3,1,777.51,0
Topic164217,2,1,2,0.18,0.0,0.22,1,2,1,407.59,0
Topic164219,5,1,5,0.25,0.0,0.26,1,5,1,13403.21,0
Topic164220,2,1,2,0.11,0.0,0.12,1,2,1,1072.0,0
Topic164221,5,1,5,0.23,0.0,0.24,1,5,1,7681.68,0
Topic164223,5,1,5,0.4,0.0,0.42,1,5,1,15959.87,0
Topic164224,3,1,3,0.19,0.0,0.2,1,3,1,21746.4,0
Topic164225,4,1,4,0.15,0.0,0.17,1,4,1,5388.34,0
Topic164226,4,1,4,0.38,0.0,0.4,1,4,1,47972.45,0
Topic164350,3,2,3,0.13,0.15,0.12,2,3,2,1661.16,0
Topic164351,3,2,2,0.06,0.13,0.03,2,2,1,3055.3,0
Topic164421,2,2,2,0.07,0.15,0.05,2,2,2,114.93,0
Topic164448,6,2,6,0.53,0.32,0.55,2,6,2,26203.5,0
Topic164491,5,1,5,0.39,0.0,0.4,1,5,1,30049.46,0
Topic164493,5,1,4,0.71,0.0,0.65,1,4,0,5093.64,0
Topic164494,4,1,4,0.66,0.0,0.69,1,4,1,1606.92,0
Topic164497,4,2,4,0.5,0.3,0.52,2,4,2,67689.88,0
Topic164500,5,3,5,0.52,0.53,0.51,3,5,3,13787.97,0
Topic164501,5,2,5,0.48,0.45,0.48,2,5,2,47769.05,0
Topic164502,6,1,6,0.58,0.0,0.59,1,6,1,7121.43,0
