Topic,F1,F2,F3,F4,Class
Topic155363,3,3,0.59,14698.3,1
Topic155365,3,3,0.57,1579.56,1
Topic155371,2,3,0.62,6543.61,1
Topic155445,3,3,0.6,1631.84,1
Topic155448,3,3,0.6,1672.38,1
Topic155514,3,3,0.61,2709.25,1
Topic155517,1,3,0.15,4293.26,1
Topic155518,3,3,0.56,8150.13,1
Topic155519,3,3,0.51,4153.03,1
Topic155521,3,3,0.58,18300.21,1
Topic155522,3,3,0.39,5417.22,1
Topic155523,3,3,0.47,2477.45,1
Topic155524,3,3,0.59,6117.39,1
Topic155525,3,3,0.59,6058.36,1
Topic155527,3,3,0.66,2180.88,1
Topic155532,2,3,0.54,188.72,1
Topic155533,3,3,0.54,669.17,1
Topic155534,3,3,0.61,1229.8,1
Topic155536,2,3,0.54,1172.02,1
Topic155538,3,3,0.53,17955.25,1
Topic155539,3,3,0.63,11879.56,1
Topic155555,3,3,0.59,1105.84,1
Topic155557,2,3,0.61,2772.55,1
Topic155558,3,3,0.58,19369.61,1
Topic155559,3,3,0.59,3137.89,1
Topic155562,3,3,0.29,2979.1,1
Topic155564,3,3,0.57,10979.86,1
Topic155566,3,3,0.59,15163.52,1
Topic155567,3,3,0.49,608.83,1
Topic155573,2,3,0.53,4345.74,1
Topic155575,3,3,0.52,3285.4,1
Topic155598,3,3,0.54,4757.12,1
Topic155638,3,3,0.57,4314.36,1
Topic155639,3,3,0.52,679.1,1
Topic162632,2,3,0.56,1880.71,1
Topic162787,3,3,0.58,4575.05,1
Topic162822,3,3,0.6,1017.38,1
Topic162884,3,3,0.59,6131.95,1
Topic155343,3,3,0.56,9906.16,0
Topic155347,3,3,0.64,12233.02,0
Topic155360,2,3,0.58,18416.72,0
Topic155387,3,3,0.57,7454.03,0
Topic155389,3,3,0.59,19095.01,0
Topic155397,3,3,0.36,6407.07,0
Topic155403,3,3,0.61,4595.59,0
Topic155404,2,3,0.32,2050.36,0
Topic155416,3,3,0.6,1059.44,0
Topic155437,3,3,0.52,80.11,0
Topic155454,3,3,0.54,16457.09,0
Topic155455,3,3,0.5,209.23,0
Topic155498,3,3,0.57,8155.59,0
Topic155504,3,3,0.57,7322.88,0
Topic155516,3,3,0.64,7677.28,0
Topic155520,3,3,0.51,2815.68,0
Topic155526,2,3,0.59,23949.03,0
Topic155528,3,3,0.54,17385.61,0
Topic155535,1,3,0.58,2138.26,0
Topic155537,3,3,0.59,7483.52,0
Topic155540,2,3,0.29,11618.85,0
Topic155543,3,3,0.57,6871.97,0
Topic155548,2,3,0.58,15835.97,0
Topic155549,3,3,0.64,13328.04,0
Topic155553,3,3,0.5,5437.89,0
Topic155560,2,3,0.48,7557.17,0
Topic155561,3,3,0.61,11558.16,0
Topic155563,3,3,0.6,10258.93,0
Topic155565,3,3,0.61,22869.6,0
Topic155568,2,3,0.53,39283.83,0
Topic155569,3,3,0.59,29123.38,0
Topic155571,2,3,0.58,13139.26,0
Topic155572,3,3,0.61,6906.13,0
Topic155577,3,3,0.6,24918.32,0
Topic155602,3,3,0.43,1977.71,0
Topic155611,3,3,0.57,3180.77,0
Topic155634,3,3,0.53,2204.82,0
Topic155651,2,3,0.29,7104.37,0
