Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,F16,F17,Class
Topic159002,591.93,142,591.93,528464.0,0.03,0.03,0.01,5832,43769.8,0.5,0.02,18222.9,17,0.1075151276933238,1
Topic159035,509.9,2019,509.9,1212972.0,0.42,0.41,0.22,186871,43325.0,0.66,0.02,41826.62,22,0.08611823793559378,1
Topic159039,666.5,1844,666.5,357074.0,0.41,0.37,0.12,126442,41084.57,0.51,0.01,12312.9,26,0.08920141052027064,1
Topic159043,806.6,1844,806.6,264849.0,0.41,0.37,0.12,126442,60344.7,0.57,0.01,9132.72,25,0.12750468284631716,1
Topic159134,337.17,1667,337.17,150695.0,0.41,0.34,0.34,271204,29129.03,0.53,0.02,5196.38,8,0.1363373938456563,1
Topic159135,536.83,122,536.83,935138.0,0.02,0.02,0.0,4416,39056.67,0.52,0.02,32246.14,6,0.1761999584136991,1
Topic159635,577.57,847,577.57,166361.0,0.17,0.17,0.06,44466,43333.2,0.58,0.02,5736.59,27,0.12031928777362853,1
Topic159719,368.4,2019,368.4,247338.0,0.42,0.41,0.22,186871,34112.67,0.57,0.02,8528.9,27,0.1806303833149155,1
Topic159763,326.9,500,326.9,94143.0,0.27,0.1,0.0,25272,18062.87,0.33,0.03,3246.31,26,0.08454317228098174,1
Topic159764,473.7,438,473.7,78832.0,0.11,0.09,0.01,29445,38496.63,0.44,0.02,2718.34,26,0.1677833116684973,1
Topic159767,931.5,2019,931.5,57113.0,0.42,0.41,0.22,186871,59164.23,0.63,0.02,1969.41,25,0.0816375523005981,1
Topic159768,278.6,870,278.6,91971.0,0.39,0.18,0.01,75878,15862.3,0.36,0.02,3171.41,20,0.06864464325090287,1
Topic159778,527.4,1844,527.4,216527.0,0.41,0.37,0.12,126442,31575.67,0.48,0.02,7466.45,22,0.061768526101993376,1
Topic159950,1050.97,1844,1050.97,12229.0,0.41,0.37,0.12,126442,55310.43,0.45,0.01,421.69,21,0.09734300272305577,1
Topic159959,620.13,2081,620.13,214193.0,0.64,0.42,0.26,272487,46879.8,0.61,0.02,7385.97,25,0.13302808342107794,1
Topic159961,677.37,2081,677.37,124726.0,0.64,0.42,0.26,272487,46275.2,0.58,0.02,4300.9,24,0.09549021700473959,1
Topic159981,420.0,116,420.0,302771.0,0.02,0.02,0.02,21900,42604.93,0.39,0.02,10440.38,27,0.029769370478702595,1
Topic159990,436.57,124,436.57,168471.0,0.03,0.03,0.08,41850,49730.73,0.62,0.02,5809.34,25,0.1055623149984441,1
Topic159994,420.2,502,420.2,106104.0,0.17,0.1,0.09,145089,48104.03,0.47,0.03,3658.76,20,0.07596045957940192,1
Topic159999,550.17,2019,550.17,334205.0,0.42,0.41,0.22,186871,44096.37,0.65,0.02,11524.31,14,0.11461771200047831,1
Topic160157,403.0,100,403.0,345903.0,0.02,0.02,0.01,17550,36534.97,0.44,0.02,11927.69,7,0.07627261711162893,1
Topic158994,280.73,61,280.73,219509.0,0.01,0.01,0.01,11265,29308.8,0.42,0.02,7569.28,20,0.049060591356988176,0
Topic158998,359.87,47,359.87,187619.0,0.01,0.01,0.02,24030,35126.03,0.47,0.02,6469.62,14,0.05754081896555567,0
Topic159013,629.33,847,629.33,835121.0,0.17,0.17,0.06,44466,46786.7,0.61,0.02,28797.28,25,0.09758378402664064,0
Topic159018,407.53,2019,407.53,328452.0,0.42,0.41,0.22,186871,36845.23,0.66,0.02,11325.93,25,0.14120637735913544,0
Topic159023,577.73,2019,577.73,285381.0,0.42,0.41,0.22,186871,38059.6,0.61,0.02,9840.72,22,0.06489904609202332,0
Topic159036,423.3,2019,423.3,259514.0,0.42,0.41,0.22,186871,33104.07,0.63,0.02,8948.76,20,0.1035152784401468,0
