Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic155445,1196.93,907,1196.93,21438.95,0.32,0.21,0.02,902310,2244710.77,0.64,0.09,238.21,1
Topic155517,849.9,945,849.9,76717.08,0.41,0.22,0.77,33814943,22617822.02,0.25,0.07,852.41,1
Topic155518,493.13,559,493.13,139184.17,0.32,0.13,0.0,423063,248304.8,0.47,0.08,1546.49,1
Topic155519,570.6,167,570.6,64571.12,0.08,0.04,0.0,97541,184423.92,0.6,0.09,717.46,1
Topic155522,890.1,371,890.1,105799.58,0.17,0.09,0.01,1784512,1116242.26,0.64,0.09,1175.55,1
Topic155524,714.9,609,714.9,52454.45,0.33,0.14,0.02,1488073,1214891.1,0.41,0.08,582.83,1
Topic155525,783.64,909,783.64,231536.13,0.29,0.21,0.0,67491,364200.62,0.68,0.09,2572.62,1
Topic155527,1005.21,870,1005.21,51004.02,0.4,0.2,0.03,7368909,2149812.71,0.63,0.09,566.71,1
Topic155532,511.47,271,511.47,2655.48,0.22,0.06,0.0,281262,291939.33,0.58,0.09,29.51,1
Topic155533,537.47,154,537.47,3328.02,0.07,0.04,0.0,513466,1284231.6,0.52,0.08,36.98,1
Topic155538,879.77,881,879.77,323828.88,0.36,0.21,0.01,376301,735207.7,0.56,0.08,3598.1,1
Topic155557,1052.14,870,1052.14,3586.93,0.4,0.2,0.03,7368909,1699395.29,0.53,0.08,39.85,1
Topic155559,786.16,371,786.16,1553.0,0.17,0.09,0.01,1784512,868451.5,0.56,0.08,17.26,1
Topic155562,963.2,945,963.2,48918.12,0.41,0.22,0.77,33814943,15222728.0,0.47,0.08,543.53,1
Topic155564,664.77,881,664.77,218440.22,0.36,0.21,0.01,376301,385822.13,0.61,0.08,2427.11,1
Topic155575,655.3,559,655.3,2913.57,0.32,0.13,0.0,423063,507308.13,0.56,0.08,32.37,1
Topic163170,981.09,907,981.09,25435.9,0.32,0.21,0.02,902310,595955.73,0.61,0.08,282.62,1
Topic163173,374.18,106,374.18,75547.35,0.02,0.02,0.0,16550,3839103.5,0.28,0.07,839.41,1
Topic163371,543.47,291,543.47,19795.92,0.1,0.07,0.0,108450,1625116.0,0.54,0.08,219.95,1
Topic162975,525.59,79,525.59,283144.4,0.03,0.02,0.0,18260,635871.23,0.71,0.09,865.89,0
Topic163026,1062.52,1087,1062.52,430100.47,0.35,0.25,0.0,113659,1066925.89,0.78,0.09,1400.98,0
Topic155347,729.87,318,729.87,859802.53,0.1,0.07,0.0,74645,609013.75,0.74,0.09,2018.32,0
Topic155397,569.8,434,569.8,248452.87,0.17,0.1,0.0,89052,479969.74,0.7,0.09,955.59,0
Topic155561,485.6,459,485.6,759743.78,0.28,0.11,0.0,95140,248868.98,0.77,0.09,2116.28,0
Topic163104,848.76,690,848.76,123624.22,0.33,0.16,0.02,3042766,886403.26,0.72,0.09,269.33,0
Topic155360,390.77,1435,390.77,711290.52,0.45,0.34,0.01,432809,813180.74,0.71,0.09,4445.57,0
Topic163089,574.88,72,574.88,312038.05,0.03,0.02,0.0,109047,460289.42,0.87,0.09,333.37,0
Topic155528,401.01,459,401.01,496403.87,0.28,0.11,0.0,95140,162408.33,0.65,0.09,1671.39,0
Topic162813,918.76,1131,918.76,672231.78,0.47,0.27,0.0,265605,1205562.57,0.76,0.09,4871.24,0
Topic163178,731.19,1115,731.19,587468.03,0.36,0.26,0.01,231258,191564.75,0.65,0.09,3435.49,0
Topic155526,466.15,240,466.15,1334406.45,0.11,0.06,0.0,25235,204488.68,0.77,0.09,3971.45,0
Topic155540,575.2,107,575.2,466477.13,0.04,0.03,0.0,17087,1057891.04,0.73,0.09,1332.79,0
Topic155566,586.15,909,586.15,617513.97,0.29,0.21,0.0,67491,276455.57,0.69,0.09,5369.69,0
Topic162884,420.4,256,420.4,724133.6,0.1,0.06,0.0,36468,144629.74,0.69,0.09,2011.48,0
Topic155520,473.23,78,473.23,242671.37,0.03,0.02,0.0,19246,440723.31,0.74,0.09,570.99,0
Topic155536,606.52,378,606.52,212817.32,0.25,0.09,0.0,152441,383104.23,0.76,0.09,440.62,0
Topic163368,811.92,1087,811.92,621246.85,0.35,0.25,0.0,113659,1036948.73,0.72,0.09,2436.26,0
Topic162787,445.45,881,445.45,265324.62,0.36,0.21,0.01,376301,357303.46,0.78,0.09,668.32,0
