Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic147092,1906.0,1906,1906.0,0.0,0.34,0.18,0.01,956336,956336.0,0.18,0.11,0.0,1
Topic147100,1449.0,1449,1449.0,0.0,0.28,0.14,0.52,6624316,6624316.0,0.14,0.1,0.0,1
Topic147102,809.18,746,809.18,42.0,0.14,0.07,0.14,1984474,1369367.58,0.3,0.11,0.7,1
Topic148845,2544.0,2544,2544.0,0.0,0.49,0.24,0.47,10182294,10182294.0,0.24,0.11,0.0,1
Topic148846,612.0,612,612.0,0.0,0.11,0.06,0.11,3089106,3089106.0,0.06,0.1,0.0,1
Topic148893,2419.88,2544,2419.88,87.0,0.49,0.24,0.47,10182294,9382613.5,0.3,0.11,1.45,1
Topic149535,1495.0,1495,1495.0,0.0,0.28,0.14,0.05,1456556,1456556.0,0.14,0.1,0.0,1
Topic149626,266.0,266,266.0,0.0,0.05,0.03,0.02,1337888,1337888.0,0.03,0.1,0.0,1
Topic149634,835.93,759,835.93,1.0,0.15,0.07,0.01,492970,474466.93,0.15,0.11,0.02,1
Topic149635,545.4,542,545.4,27.0,0.08,0.05,0.01,226750,258934.4,0.08,0.1,0.45,1
Topic149641,392.07,221,392.07,824.0,0.03,0.02,0.0,37952,496283.47,0.16,0.11,13.73,1
Topic149645,748.88,120,748.88,127539.0,0.01,0.01,0.0,10167,814304.15,0.4,0.12,2125.65,1
Topic149677,1221.22,759,1221.22,1121.0,0.15,0.07,0.01,492970,848970.78,0.54,0.12,18.68,1
Topic149704,1135.93,2544,1135.93,68809.0,0.49,0.24,0.47,10182294,3150341.13,0.33,0.12,1146.82,1
Topic152391,614.37,631,614.37,30190.0,0.1,0.06,0.02,230925,240170.57,0.35,0.11,503.17,1
Topic318218,1354.7,2544,1354.7,7405.0,0.49,0.24,0.47,10182294,2550101.62,0.38,0.12,123.42,1
Topic318234,593.5,158,593.5,2546.0,0.02,0.02,0.0,5436,207767.5,0.26,0.11,42.43,1
Topic318262,863.87,309,863.87,2961.0,0.06,0.03,0.0,24034,190304.67,0.35,0.12,49.35,1
Topic318295,1319.27,831,1319.27,1435.0,0.13,0.08,0.0,61093,178935.75,0.4,0.12,23.92,1
Topic318604,1021.5,492,1021.5,554.0,0.09,0.05,0.0,10975,190714.57,0.42,0.12,9.23,1
Topic318824,437.18,381,437.18,68006.0,0.08,0.04,0.0,17068,44929.22,0.21,0.12,1133.43,1
Topic318927,946.0,1631,946.0,504.0,0.22,0.16,0.0,132268,228573.17,0.44,0.12,8.4,1
Topic319107,1464.32,1509,1464.32,573.0,0.24,0.14,0.0,166571,146776.02,0.3,0.11,9.55,1
Topic319186,1093.23,1257,1093.23,2916.0,0.22,0.12,0.0,135371,121741.7,0.36,0.12,48.6,1
Topic319366,700.83,1906,700.83,560.0,0.34,0.18,0.01,956336,123616.33,0.31,0.12,9.33,1
Topic319407,1050.72,1047,1050.72,15493.0,0.15,0.1,0.0,117835,109164.68,0.26,0.11,258.22,1
Topic320290,907.07,961,907.07,758417.0,0.17,0.09,0.0,46159,56301.1,0.28,0.12,12640.28,1
Topic320332,1476.25,1509,1476.25,1947.0,0.24,0.14,0.0,166571,234736.78,0.48,0.12,32.45,1
Topic320587,2766.48,3040,2766.48,603.0,0.58,0.29,0.02,719935,637868.77,0.32,0.11,10.05,1
Topic320609,1101.53,453,1101.53,1038.0,0.07,0.04,0.0,9106,201591.37,0.39,0.12,17.3,1
Topic320693,1167.0,714,1167.0,169.0,0.13,0.07,0.0,24057,55993.8,0.33,0.12,2.82,1
Topic320708,2762.17,3040,2762.17,491.0,0.58,0.29,0.02,719935,636978.63,0.3,0.11,8.18,1
Topic320731,1235.83,1257,1235.83,124390.0,0.22,0.12,0.0,135371,97391.77,0.31,0.12,2073.17,1
Topic320792,1108.8,1130,1108.8,1403496.0,0.19,0.11,0.0,51267,180793.83,0.4,0.12,23391.6,1
Topic320827,1388.4,1634,1388.4,3515.0,0.28,0.16,0.02,432019,283525.63,0.33,0.12,58.58,1
Topic320906,1143.27,831,1143.27,30663.0,0.13,0.08,0.0,61093,208819.83,0.38,0.12,511.05,1
Topic321012,972.98,492,972.98,1741.0,0.08,0.05,0.0,10276,96766.02,0.35,0.12,29.02,1
Topic321953,772.4,102,772.4,1694.0,0.02,0.01,0.0,40742,461607.17,0.4,0.12,28.23,1
Topic322091,1338.3,1419,1338.3,6087.0,0.25,0.14,0.01,234414,1343994.0,0.37,0.12,101.45,1
Topic322240,921.9,482,921.9,352.0,0.12,0.05,0.0,31101,308802.98,0.4,0.12,5.87,1
Topic322263,1145.2,1634,1145.2,723.0,0.28,0.16,0.02,432019,229925.87,0.4,0.12,12.05,1
Topic322305,2156.13,3040,2156.13,154.0,0.58,0.29,0.02,719935,439532.33,0.37,0.12,2.57,1
Topic322335,804.83,219,804.83,50104.0,0.04,0.02,0.0,13951,159272.77,0.29,0.11,835.07,1
Topic22231,745.77,948,745.77,265.28,0.16,0.09,0.1,1446340,377671.3,0.45,0.12,8.84,0
Topic22292,666.4,607,666.4,396.72,0.11,0.06,0.01,322935,455302.8,0.42,0.12,13.22,0
Topic22664,588.77,690,588.77,1335.5,0.13,0.07,0.0,39591,236686.47,0.45,0.12,44.52,0
Topic22762,532.07,661,532.07,838.93,0.11,0.06,0.0,59130,67607.47,0.45,0.12,27.96,0
Topic23848,652.67,1724,652.67,7262.97,0.35,0.17,0.0,206796,159604.97,0.44,0.12,242.1,0
Topic34769,745.77,948,745.77,265.28,0.16,0.09,0.1,1446340,377671.3,0.45,0.12,8.84,0
Topic34928,666.4,607,666.4,396.72,0.11,0.06,0.01,322935,455302.8,0.42,0.12,13.22,0
Topic35301,588.77,690,588.77,1335.5,0.13,0.07,0.0,39591,236686.47,0.45,0.12,44.52,0
Topic35436,532.07,661,532.07,838.93,0.11,0.06,0.0,59130,67607.47,0.45,0.12,27.96,0
Topic36479,652.67,1724,652.67,7262.97,0.35,0.17,0.0,206796,159604.97,0.44,0.12,242.1,0
Topic62863,745.77,948,745.77,265.28,0.16,0.09,0.1,1446340,377671.3,0.45,0.12,8.84,0
Topic63022,666.4,607,666.4,396.72,0.11,0.06,0.01,322935,455302.8,0.42,0.12,13.22,0
Topic63395,588.77,690,588.77,1335.5,0.13,0.07,0.0,39591,236686.47,0.45,0.12,44.52,0
Topic63530,532.07,661,532.07,838.93,0.11,0.06,0.0,59130,67607.47,0.45,0.12,27.96,0
Topic94586,745.77,948,745.77,265.28,0.16,0.09,0.1,1446340,377671.3,0.45,0.12,8.84,0
Topic94745,666.4,607,666.4,396.72,0.11,0.06,0.01,322935,455302.8,0.42,0.12,13.22,0
Topic95118,588.77,690,588.77,1335.5,0.13,0.07,0.0,39591,236686.47,0.45,0.12,44.52,0
Topic95254,532.07,661,532.07,838.93,0.11,0.06,0.0,59130,67607.47,0.45,0.12,27.96,0
Topic96259,652.67,1724,652.67,7262.97,0.35,0.17,0.0,206796,159604.97,0.44,0.12,242.1,0
Topic133695,745.77,948,745.77,265.28,0.16,0.09,0.1,1446340,377671.3,0.45,0.12,8.84,0
Topic133756,666.4,607,666.4,396.72,0.11,0.06,0.01,322935,455302.8,0.42,0.12,13.22,0
Topic134128,588.77,690,588.77,1335.5,0.13,0.07,0.0,39591,236686.47,0.45,0.12,44.52,0
Topic134363,532.07,661,532.07,838.93,0.11,0.06,0.0,59130,67607.47,0.45,0.12,27.96,0
Topic135362,652.67,1724,652.67,7262.97,0.35,0.17,0.0,206796,159604.97,0.44,0.12,242.1,0
Topic147061,626.87,430,626.87,4120.0,0.11,0.04,0.0,236260,333374.8,0.58,0.12,10.1,0
Topic147091,502.11,237,502.11,1996345.0,0.06,0.02,0.01,581140,523024.22,0.75,0.13,892.42,0
Topic147097,505.57,363,505.57,811798.0,0.07,0.03,0.02,422873,735407.94,0.55,0.12,484.08,0
Topic148804,673.76,304,673.76,1825790.0,0.05,0.03,0.0,89869,359169.69,0.54,0.12,4003.93,0
Topic148844,589.79,288,589.79,2961172.0,0.06,0.03,0.0,45988,413440.63,0.6,0.12,3655.77,0
Topic148872,497.93,746,497.93,794390.0,0.14,0.07,0.14,1984474,441059.63,0.45,0.12,1976.09,0
Topic148880,980.82,1449,980.82,4601411.0,0.28,0.14,0.52,6624316,2159867.87,0.57,0.12,13146.89,0
Topic148907,368.23,396,368.23,3531191.0,0.07,0.04,0.0,48593,399357.88,0.39,0.12,10325.12,0
Topic148927,835.03,784,835.03,3895304.0,0.13,0.08,0.0,188759,312277.03,0.63,0.12,3860.56,0
Topic148965,809.32,679,809.32,1577959.0,0.16,0.07,0.0,151515,621757.69,0.52,0.12,2435.12,0
Topic148982,825.63,2111,825.63,2104985.0,0.42,0.2,0.01,403980,448389.02,0.68,0.13,2357.21,0
