Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic159039,674.76,1844,674.76,318791.0,0.41,0.37,0.12,126442,40147.6,0.45,0.01,2125.27,1
Topic159719,678.56,2019,678.56,177393.0,0.42,0.41,0.22,186871,72239.04,0.58,0.02,1182.62,1
Topic159767,1026.6,2019,1026.6,41968.0,0.42,0.41,0.22,186871,68932.4,0.65,0.02,279.79,1
Topic159778,547.76,1844,547.76,119693.0,0.41,0.37,0.12,126442,34040.4,0.48,0.01,797.95,1
Topic159950,1012.04,1844,1012.04,10237.0,0.41,0.37,0.12,126442,53542.48,0.44,0.01,68.25,1
Topic159959,930.36,2081,930.36,142348.0,0.64,0.42,0.26,272487,96455.16,0.63,0.02,948.99,1
Topic160158,541.19,502,541.19,28541.0,0.17,0.1,0.09,145089,94321.29,0.38,0.02,190.27,1
Topic159037,548.93,1844,548.93,1215205.0,0.41,0.37,0.12,126442,39029.09,0.68,0.02,4710.1,0
Topic159048,357.9,2019,357.9,1010956.0,0.42,0.41,0.22,186871,33714.86,0.61,0.02,8023.46,0
Topic159986,429.87,322,429.87,940887.0,0.09,0.06,0.03,19026,42189.31,0.49,0.02,3689.75,0
Topic159187,477.0,86,477.0,1499025.0,0.02,0.02,0.02,4620,44272.13,0.74,0.03,10862.5,0
Topic159256,314.77,2019,314.77,2118793.0,0.42,0.41,0.22,186871,24757.65,0.71,0.03,8865.24,0
Topic160262,377.84,2019,377.84,1344625.0,0.42,0.41,0.22,186871,27099.02,0.69,0.02,9337.67,0
Topic159720,269.38,2019,269.38,576221.0,0.42,0.41,0.22,186871,21911.01,0.59,0.02,4029.52,0
